v,vw,o,c,h,l,t,n,date
35692780.0,235.717,238.29,232.9,240.54,232.73,1664510400000,349460,2022-09-30 04:00:00
28855357.0,238.9979,235.41,240.74,241.61,234.66,1664769600000,310569,2022-10-03 04:00:00
34888416.0,248.3777,245.09,248.88,250.36,244.975,1664856000000,363475,2022-10-04 04:00:00
20316136.0,247.5403,245.99,249.2,250.58,244.1,1664942400000,240366,2022-10-05 04:00:00
20239886.0,247.8246,247.93,246.79,250.34,246.08,1665028800000,248352,2022-10-06 04:00:00
37737102.0,235.5773,240.902,234.24,241.32,233.17,1665115200000,434172,2022-10-07 04:00:00
29743608.0,229.7802,233.05,229.25,234.559,226.73,1665374400000,379327,2022-10-10 04:00:00
30473954.0,226.3341,227.62,225.41,229.06,224.11,1665460800000,349682,2022-10-11 04:00:00
21903937.0,225.9151,225.4,225.75,227.86,223.96,1665547200000,260518,2022-10-12 04:00:00
42551818.0,230.3739,219.85,234.24,236.1,219.13,1665633600000,489794,2022-10-13 04:00:00
30198588.0,230.805,235.54,228.56,237.24,228.34,1665720000000,342373,2022-10-14 04:00:00
28142268.0,237.102,235.82,237.53,238.96,235.135,1665979200000,305966,2022-10-17 04:00:00
26329591.0,239.04,243.24,238.5,243.93,235.37,1666065600000,325506,2022-10-18 04:00:00
19985698.0,236.6482,237.04,236.48,239.61,234.29,1666152000000,232870,2022-10-19 04:00:00
21811015.0,237.1951,235.77,236.15,241.31,234.87,1666238400000,255775,2022-10-20 04:00:00
26299733.0,239.3394,234.74,242.12,243.0,234.5,1666324800000,290614,2022-10-21 04:00:00
24781432.0,245.3763,243.76,247.25,247.84,241.295,1666584000000,321981,2022-10-24 04:00:00
34775505.0,247.9143,247.26,250.66,251.04,245.83,1666670400000,431898,2022-10-25 04:00:00
82684846.0,233.5731,231.17,231.32,238.3,230.06,1666756800000,979052,2022-10-26 04:00:00
40424645.0,227.6391,231.04,226.75,233.69,225.78,1666843200000,502651,2022-10-27 04:00:00
40647724.0,233.1644,226.24,235.87,236.6,226.05,1666929600000,453458,2022-10-28 04:00:00
28357265.0,232.713,233.76,232.13,234.92,231.15,1667188800000,310749,2022-10-31 04:00:00
30582271.0,229.2736,234.6,228.17,235.74,227.325,1667275200000,355473,2022-11-01 04:00:00
38400237.0,224.7701,229.46,220.1,231.3,220.04,1667361600000,463714,2022-11-02 04:00:00
36633922.0,216.6521,220.09,214.25,220.41,213.98,1667448000000,461770,2022-11-03 04:00:00
36789063.0,218.3495,217.55,221.39,221.59,213.431,1667534400000,410751,2022-11-04 04:00:00
33497979.0,225.8583,221.99,227.87,228.41,221.28,1667797200000,346832,2022-11-07 05:00:00
28192548.0,229.2191,228.7,228.87,231.65,225.84,1667883600000,328460,2022-11-08 05:00:00
27851835.0,225.9814,227.37,224.51,228.6327,224.33,1667970000000,275026,2022-11-09 05:00:00
46268021.0,239.8423,235.43,242.98,243.33,235.0,1668056400000,490190,2022-11-10 05:00:00
34620246.0,245.5838,242.99,247.11,247.99,241.93,1668142800000,368001,2022-11-11 05:00:00
31123340.0,242.0967,241.985,241.55,243.91,239.21,1668402000000,351680,2022-11-14 05:00:00
31380517.0,243.3448,245.66,241.97,247.0,240.03,1668488400000,377449,2022-11-15 05:00:00
24093272.0,242.0599,242.79,241.73,243.8,240.42,1668574800000,270175,2022-11-16 05:00:00
23123544.0,241.2058,237.78,241.68,243.25,237.63,1668661200000,267476,2022-11-17 05:00:00
