ds,y
2015-09-29,24.684572219848633
2015-09-30,24.96523094177246
2015-10-01,24.802263259887695
2015-10-02,24.983335494995117
2015-10-05,25.07387351989746
2015-10-06,25.19383430480957
2015-10-07,25.07387351989746
2015-10-08,24.784154891967773
2015-10-09,25.377166748046875
2015-10-12,25.259475708007812
2015-10-13,25.30247688293457
2015-10-14,24.94485855102539
2015-10-15,25.318323135375977
2015-10-16,25.13271713256836
2015-10-19,25.28889274597168
2015-10-20,25.75062370300293
2015-10-21,25.748367309570312
2015-10-22,26.142194747924805
2015-10-23,26.952489852905273
2015-10-26,26.092397689819336
2015-10-27,25.927173614501953
2015-10-28,26.995494842529297
2015-10-29,27.280681610107422
2015-10-30,27.04755210876465
2015-11-02,27.42780876159668
2015-11-03,27.742414474487305
2015-11-04,27.6134033203125
